age,gender,education,industry,industry_experience,salary
23,Male,high school,business,4,58076.179200000006
28,Male,high school,business,2,45823.686480000004
24,Male,high school,business,1,40892.41728
25,Male,high school,business,1,70796.25072000001
27,Male,high school,business,2,59397.93288000001
28,Male,high school,business,2,65554.54776
28,Male,high school,business,5,54245.88936
25,Male,high school,business,2,50288.34096000001
23,Male,high school,business,6,54720.216720000004
25,Male,high school,business,5,51797.12616000001
28,Male,high school,business,1,71093.18736
23,Male,high school,business,6,46147.617360000004
25,Male,high school,business,2,48642.6564
28,Male,high school,business,4,53675.154
22,Female,high school,business,2,31382.208000000002
19,Female,high school,business,1,48779.22816
22,Female,high school,business,0,47976.81408
18,Female,high school,business,2,34419.3408
20,Female,high school,business,1,44959.44960000001
19,Female,high school,business,1,40384.88064
18,Female,high school,business,1,48588.73344
19,Female,high school,business,0,45403.33824
18,Female,high school,business,1,33463.27296
18,Female,high school,business,2,47751.27552
20,Female,high school,business,2,41420.021759999996
21,Female,high school,business,1,46041.31584
22,Female,high school,business,2,50721.914880000004
18,Female,high school,business,0,43218.93888
18,Female,high school,business,0,45298.20672
22,Female,high school,business,2,44613.50400000001
19,Female,high school,business,1,47842.030080000004
21,Female,high school,business,1,30601.35936
19,Female,high school,business,0,31363.338239999997
20,Female,high school,business,2,44564.98176
21,Female,high school,business,0,44241.50016
18,Female,high school,business,0,32552.133120000002
21,Female,high school,business,1,49498.97472
22,Female,high school,business,1,43250.38848
21,Female,high school,business,1,44247.79008
18,Female,high school,business,2,34518.1824
22,Female,high school,business,1,35969.3568
22,Female,high school,business,0,32992.427520000005
18,Female,high school,business,0,39338.05824
21,Female,high school,business,1,33758.000640000006
20,Female,high school,business,0,35434.7136
22,Female,high school,business,1,48779.22816
18,Female,high school,business,1,34502.00831999999
20,Female,high school,business,0,49267.14624
19,Female,high school,business,2,46373.78304
19,Female,high school,business,2,48890.649600000004
19,Female,high school,business,0,37292.935679999995
21,Female,high school,business,1,34744.61952
18,Female,high school,business,2,38314.5984
18,Female,high school,business,1,37701.78048
22,Female,high school,business,2,38292.13440000001
21,Female,high school,business,2,45358.41024
22,Female,high school,business,0,29340.67968
21,Female,high school,business,1,39819.686400000006
19,Female,high school,business,1,43062.58944
19,Female,high school,business,0,42172.116480000004
19,Female,high school,business,1,31888.995840000003
22,Female,high school,business,1,32567.408639999998
21,Female,high school,business,2,38418.831360000004
22,Female,high school,business,0,37131.19488
20,Female,high school,business,1,40645.46304
26,Female,high school,business,1,54042.992640000004
25,Female,high school,business,3,64460.89728
24,Female,high school,business,6,46591.23456
23,Female,high school,business,6,61791.27551999999
23,Female,high school,business,4,57734.27712
27,Female,high school,business,6,46654.13376
24,Female,high school,business,5,50507.159040000006
28,Female,high school,business,5,49636.4544
25,Female,high school,business,5,53646.72768
24,Female,high school,business,3,38986.72128
28,Female,high school,business,6,61660.08576000001
23,Female,high school,business,4,54399.720960000006
24,Female,high school,business,5,62322.324479999996
27,Female,high school,business,3,58525.908480000006
25,Female,high school,business,1,62289.97632
23,Female,high school,business,5,58255.441920000005
28,Female,high school,business,6,55833.82272
27,Female,high school,business,4,53128.25856
24,Female,high school,business,6,43366.30272
28,Female,high school,business,1,65993.84064
24,Female,high school,business,1,63733.96224000001
27,Female,high school,business,4,37380.096000000005
24,Female,high school,business,2,62027.596800000014
24,Female,high school,business,3,63633.32351999999
24,Female,high school,business,1,41127.091199999995
23,Female,high school,business,4,62380.73088
25,Female,high school,business,4,41637.47328
25,Female,high school,business,2,53706.931200000006
25,Female,high school,business,2,53426.580480000004
27,Female,high school,business,5,40716.44928
27,Female,high school,business,6,48391.05024
27,Female,high school,business,2,48591.42912
27,Female,high school,business,1,40781.145599999996
25,Female,high school,business,3,53945.94816
24,Female,high school,business,3,37796.129279999994
24,Female,high school,business,2,50148.6336
27,Female,high school,business,3,56837.51424
23,Female,high school,business,5,38399.06304
24,Female,high school,business,5,61678.05696
28,Female,high school,business,4,43067.08224
23,Female,high school,business,3,59320.23552
24,Female,high school,business,3,45551.600640000004
22,Male,high school,finance,2,56735.6445
19,Male,high school,finance,2,56376.94185
20,Male,high school,finance,1,54742.066110000014
18,Male,high school,finance,0,47838.80835
20,Male,high school,finance,2,38039.65821000001
21,Male,high school,finance,2,51352.07346000001
19,Male,high school,finance,2,45051.03198000001
21,Male,high school,finance,1,49090.73112000001
21,Male,high school,finance,0,33550.31772000001
20,Male,high school,finance,2,43353.509580000005
18,Male,high school,finance,0,43375.73904000001
18,Male,high school,finance,1,53194.08735
18,Male,high school,finance,2,42521.925690000004
20,Male,high school,finance,1,42444.12258
22,Male,high school,finance,0,52907.125230000005
19,Male,high school,finance,2,38163.941100000004
21,Male,high school,finance,0,51797.673090000004
20,Male,high school,finance,2,36213.811200000004
18,Male,high school,finance,0,51881.53878000001
20,Male,high school,finance,0,37655.69481
22,Male,high school,finance,0,44429.61753
20,Male,high school,finance,1,34923.49209
20,Male,high school,finance,1,47247.70680000001
18,Male,high school,finance,1,57016.54404000001
19,Male,high school,finance,0,50870.09835
21,Male,high school,finance,2,36573.52428
18,Male,high school,finance,1,32529.783420000003
18,Male,high school,finance,1,56213.25219
20,Male,high school,finance,2,56989.26243000001
19,Male,high school,finance,1,47047.64166
19,Male,high school,finance,1,52777.79019
21,Male,high school,finance,1,50881.21308000001
19,Male,high school,finance,0,34111.10637000001
20,Male,high school,finance,1,35741.94039
21,Male,high school,finance,1,56030.364360000014
18,Male,high school,finance,1,40733.46459
20,Male,high school,finance,1,32717.723400000006
20,Male,high school,finance,0,45243.013680000004
20,Male,high school,finance,2,56665.92483
20,Male,high school,finance,1,42021.76284
18,Male,high school,finance,0,37674.89298000001
19,Male,high school,finance,2,51841.12158
18,Male,high school,finance,2,54713.77407000001
18,Male,high school,finance,1,48282.38712000001
22,Male,high school,finance,1,40534.40988000001
19,Male,high school,finance,1,42984.70263000001
22,Male,high school,finance,1,55117.946070000005
20,Male,high school,finance,2,53618.467950000006
19,Male,high school,finance,2,33538.19256000001
18,Male,high school,finance,1,34986.138750000006
22,Male,high school,finance,1,35182.16217
22,Male,high school,finance,1,34922.481660000005
20,Male,high school,finance,0,48525.90075
20,Male,high school,finance,2,44138.61369
18,Male,high school,finance,1,41545.85031000001
21,Male,high school,finance,1,38668.14567
19,Male,high school,finance,2,34030.27197000001
18,Male,high school,finance,1,45141.970680000006
19,Male,high school,finance,0,39676.55481
20,Male,high school,finance,0,39029.879609999996
20,Male,high school,finance,0,47888.31942000001
18,Male,high school,finance,2,42733.10556000001
21,Male,high school,finance,1,40511.16999
22,Male,high school,finance,0,34114.13766000001
20,Male,high school,finance,2,46179.682290000004
23,Male,high school,finance,5,50526.55215000001
24,Male,high school,finance,3,43447.47957
23,Male,high school,finance,2,52531.24527000001
23,Male,high school,finance,4,49061.42865000001
23,Male,high school,finance,2,66227.62392000001
23,Male,high school,finance,6,56539.621080000004
26,Male,high school,finance,2,71377.78563
25,Male,high school,finance,6,63522.70281000001
25,Male,high school,finance,3,63562.109580000004
27,Male,high school,finance,2,72856.04472
24,Male,high school,finance,4,53706.37536000001
28,Male,high school,finance,2,69440.79132
26,Male,high school,finance,5,62871.98589000001
25,Male,high school,finance,6,68951.7432
28,Male,high school,finance,2,52387.76421000001
24,Male,high school,finance,5,42050.05488
24,Male,high school,finance,6,43251.456150000005
27,Male,high school,finance,1,63169.05231000001
28,Male,high school,finance,6,63907.67664000001
25,Male,high school,finance,5,59734.60074000001
28,Male,high school,finance,5,44055.75843
26,Male,high school,finance,2,67556.33937000002
27,Male,high school,finance,2,53540.664840000005
24,Male,high school,finance,6,42423.913980000005
23,Male,high school,finance,5,58930.298460000005
24,Male,high school,finance,3,60392.39067
23,Male,high school,finance,3,50204.224980000006
24,Male,high school,finance,2,58213.90359
23,Male,high school,finance,6,43417.166670000006
27,Male,high school,finance,5,41569.09020000001
24,Male,high school,finance,2,47637.732780000006
25,Male,high school,finance,4,65641.57452000001
23,Male,high school,finance,3,74071.59201000001
26,Male,high school,finance,1,62471.855610000006
28,Male,high school,finance,1,50175.93294
23,Male,high school,finance,4,63511.58808000001
23,Male,high school,finance,6,44950.999410000004
25,Male,high school,finance,5,42088.45122000001
23,Male,high school,finance,3,71033.229
28,Male,high school,finance,5,70303.69854
28,Male,high school,finance,3,58576.64796000001
24,Male,high school,finance,6,66996.56115000002
28,Male,high school,finance,3,63729.840960000016
25,Male,high school,finance,3,48880.561680000006
23,Male,high school,finance,4,52293.79422
24,Male,high school,finance,6,48171.23982
26,Male,high school,finance,5,64062.272430000005
26,Male,high school,finance,1,41662.04976
24,Male,high school,finance,5,43872.87060000001
27,Male,high school,finance,4,61111.81683
24,Male,high school,finance,1,57383.33013000001
28,Male,high school,finance,4,44354.84571000001
22,Female,high school,finance,1,33925.02048000001
18,Female,high school,finance,1,31096.9152
22,Female,high school,finance,1,52428.720960000006
19,Female,high school,finance,2,38610.27648
21,Female,high school,finance,1,37449.08640000001
19,Female,high school,finance,1,43722.14976
18,Female,high school,finance,0,37030.94496
22,Female,high school,finance,0,49272.883200000004
18,Female,high school,finance,0,50323.88736000001
22,Female,high school,finance,1,43593.12864
22,Female,high school,finance,2,43019.5968
22,Female,high school,finance,1,30747.522240000002
21,Female,high school,finance,1,33293.09952
18,Female,high school,finance,0,38540.586240000004
19,Female,high school,finance,0,42299.150400000006
21,Female,high school,finance,1,35864.104320000006
21,Female,high school,finance,2,32825.044799999996
18,Female,high school,finance,1,49476.303360000005
18,Female,high school,finance,2,37470.74688
21,Female,high school,finance,0,42906.585600000006
18,Female,high school,finance,0,35010.86976000001
21,Female,high school,finance,2,38245.81536
21,Female,high school,finance,2,45621.67968
20,Female,high school,finance,1,50324.82912
22,Female,high school,finance,2,45584.00928
19,Female,high school,finance,0,44224.107840000004
18,Female,high school,finance,0,50907.77856
20,Female,high school,finance,1,50319.17856
20,Female,high school,finance,0,30892.553279999996
22,Female,high school,finance,1,41251.91328
18,Female,high school,finance,1,43295.53248000001
19,Female,high school,finance,1,34985.442240000004
20,Female,high school,finance,0,38143.16352
18,Female,high school,finance,0,38559.42144
20,Female,high school,finance,2,32306.13504
18,Female,high school,finance,2,31443.482880000003
22,Female,high school,finance,1,33769.63008
18,Female,high school,finance,0,46031.34528
19,Female,high school,finance,0,45840.168000000005
18,Female,high school,finance,2,50116.70016000001
18,Female,high school,finance,1,40504.15584000001
18,Female,high school,finance,1,36105.194879999995
21,Female,high school,finance,2,37085.56704
18,Female,high school,finance,2,50330.479680000004
21,Female,high school,finance,2,31586.630400000002
18,Female,high school,finance,2,31381.32672
22,Female,high school,finance,1,35066.4336
21,Female,high school,finance,2,39923.089920000006
18,Female,high school,finance,0,51397.493760000005
19,Female,high school,finance,2,47620.09440000001
19,Female,high school,finance,0,33266.730240000004
18,Female,high school,finance,2,41396.00256000001
20,Female,high school,finance,2,32959.71648
19,Female,high school,finance,2,49454.64288
20,Female,high school,finance,2,37844.62560000001
21,Female,high school,finance,0,45465.34752
19,Female,high school,finance,0,39051.96192
21,Female,high school,finance,0,31887.05184
21,Female,high school,finance,1,50928.49728
21,Female,high school,finance,2,44508.51936
24,Female,high school,finance,1,45874.07136
28,Female,high school,finance,3,46714.12128
25,Female,high school,finance,1,57420.04896
25,Female,high school,finance,2,53813.10816000001
27,Female,high school,finance,2,69495.29568000001
26,Female,high school,finance,4,57146.938559999995
25,Female,high school,finance,1,50192.98272
24,Female,high school,finance,2,59766.914880000004
25,Female,high school,finance,6,55072.24128
25,Female,high school,finance,5,42400.86048
26,Female,high school,finance,5,45197.88768
26,Female,high school,finance,4,69531.08256000001
23,Female,high school,finance,4,68287.01759999999
26,Female,high school,finance,4,39284.57664
27,Female,high school,finance,1,66392.19648000001
26,Female,high school,finance,2,65907.19008
25,Female,high school,finance,5,66697.32672
24,Female,high school,finance,4,45540.68832000001
25,Female,high school,finance,6,44062.12512
28,Female,high school,finance,5,44992.584
26,Female,high school,finance,3,53622.87264
27,Female,high school,finance,6,40927.00608000001
23,Female,high school,finance,4,63815.54112
28,Female,high school,finance,3,51454.94112
24,Female,high school,finance,4,68521.51584000001
24,Female,high school,finance,5,47907.3312
28,Female,high school,finance,5,68840.77248000001
26,Female,high school,finance,1,47325.323520000005
23,Female,high school,finance,5,47618.210880000006
27,Female,high school,finance,1,41307.477119999996
23,Female,high school,finance,2,68334.1056
26,Female,high school,finance,6,39117.88512
23,Female,high school,finance,4,45319.37472
27,Female,high school,finance,1,64249.692480000005
26,Female,high school,finance,6,39357.09216000001
23,Female,high school,finance,3,40064.35392000001
28,Female,high school,finance,5,46212.1632
25,Female,high school,finance,6,54955.46304
25,Female,high school,finance,4,47464.704000000005
24,Female,high school,finance,1,53625.697920000006
26,Female,high school,finance,5,52998.48576
23,Female,high school,finance,5,55647.65664
27,Female,high school,finance,5,44182.67040000001
25,Female,high school,finance,4,52072.735680000005
27,Female,high school,finance,5,57617.81856
25,Female,high school,finance,4,68093.01504
24,Female,high school,finance,3,40027.62528
28,Female,high school,finance,4,57681.85824000001
27,Female,high school,finance,6,67141.83744
26,Female,high school,finance,4,41263.214400000004
23,Female,high school,finance,1,39967.352640000005
19,Male,high school,technology,0,38689.086599999995
20,Male,high school,technology,0,35900.29979999999
20,Male,high school,technology,1,59243.59665000001
21,Male,high school,technology,2,34914.20355
19,Male,high school,technology,2,47640.70845
21,Male,high school,technology,1,51414.52545
18,Male,high school,technology,1,50454.01440000001
20,Male,high school,technology,2,35532.51255
22,Male,high school,technology,0,56294.90234999999
19,Male,high school,technology,1,45864.66915
22,Male,high school,technology,0,59552.75115
20,Male,high school,technology,1,37090.0116
18,Male,high school,technology,0,44787.95865
18,Male,high school,technology,0,43064.1558
18,Male,high school,technology,2,56466.5364
22,Male,high school,technology,2,37219.00365
19,Male,high school,technology,0,40648.4865
20,Male,high school,technology,1,36447.18345
18,Male,high school,technology,1,57029.410800000005
22,Male,high school,technology,1,56806.606349999995
20,Male,high school,technology,0,55657.40445
18,Male,high school,technology,0,38795.6916
21,Male,high school,technology,2,46087.4736
20,Male,high school,technology,1,59723.319149999996
18,Male,high school,technology,1,35792.628749999996
18,Male,high school,technology,0,36326.7198
18,Male,high school,technology,2,53750.240999999995
18,Male,high school,technology,0,48122.56305
22,Male,high school,technology,2,38782.899000000005
21,Male,high school,technology,2,55735.2261
21,Male,high school,technology,1,39961.950300000004
21,Male,high school,technology,2,46698.32025
19,Male,high school,technology,1,37419.42105
21,Male,high school,technology,0,35704.1466
19,Male,high school,technology,1,47643.9066
18,Male,high school,technology,0,36207.322199999995
19,Male,high school,technology,1,36431.1927
21,Male,high school,technology,0,37119.861
21,Male,high school,technology,1,38365.007399999995
20,Male,high school,technology,2,55961.2287
21,Male,high school,technology,1,53005.07205
21,Male,high school,technology,2,53503.98344999999
22,Male,high school,technology,2,36701.9694
22,Male,high school,technology,1,37467.393299999996
21,Male,high school,technology,2,58198.86765
22,Male,high school,technology,2,35546.371199999994
18,Male,high school,technology,0,35820.34604999999
21,Male,high school,technology,0,34180.76115
20,Male,high school,technology,0,50201.36055
20,Male,high school,technology,1,58261.7646
28,Male,high school,technology,3,74595.7827
27,Male,high school,technology,5,70235.6382
23,Male,high school,technology,1,66004.48575
25,Male,high school,technology,3,57542.180850000004
25,Male,high school,technology,3,51311.118599999994
28,Male,high school,technology,5,78410.1096
23,Male,high school,technology,3,51343.100099999996
24,Male,high school,technology,6,45590.694299999996
25,Male,high school,technology,2,48304.8576
23,Male,high school,technology,4,44450.020800000006
24,Male,high school,technology,1,78486.8652
26,Male,high school,technology,1,64816.90605
24,Male,high school,technology,6,58025.1015
24,Male,high school,technology,6,70409.40435
25,Male,high school,technology,5,78135.0687
25,Male,high school,technology,5,57995.252100000005
27,Male,high school,technology,4,61141.16565000001
25,Male,high school,technology,3,60590.0178
24,Male,high school,technology,1,62726.382
23,Male,high school,technology,6,60467.42205
26,Male,high school,technology,6,47910.4191
26,Male,high school,technology,3,55449.524699999994
28,Male,high school,technology,1,67486.29525
24,Male,high school,technology,6,60233.95710000001
28,Male,high school,technology,2,68029.98075
23,Male,high school,technology,1,49724.83619999999
25,Male,high school,technology,2,44031.06315
28,Male,high school,technology,2,76706.56169999999
27,Male,high school,technology,2,60986.58839999999
25,Male,high school,technology,5,72153.46215
24,Male,high school,technology,4,76514.6727
27,Male,high school,technology,6,73434.85425
20,Female,high school,technology,1,52236.5328
18,Female,high school,technology,0,32704.343999999997
21,Female,high school,technology,2,49202.0784
20,Female,high school,technology,1,54131.327999999994
21,Female,high school,technology,0,41681.52
18,Female,high school,technology,1,39499.57439999999
21,Female,high school,technology,0,51773.5152
19,Female,high school,technology,2,51349.24799999999
22,Female,high school,technology,1,39928.8096
18,Female,high school,technology,2,39031.5888
20,Female,high school,technology,0,50235.4224
19,Female,high school,technology,1,39769.8336
19,Female,high school,technology,2,40001.342399999994
19,Female,high school,technology,1,35959.37759999999
21,Female,high school,technology,0,53930.62079999999
20,Female,high school,technology,0,37707.119999999995
22,Female,high school,technology,2,50888.217599999996
20,Female,high school,technology,2,51093.8928
22,Female,high school,technology,2,40431.5712
20,Female,high school,technology,0,42444.604799999994
19,Female,high school,technology,2,53580.8736
20,Female,high school,technology,2,51556.91039999999
20,Female,high school,technology,0,50694.465599999996
21,Female,high school,technology,1,47692.799999999996
20,Female,high school,technology,2,42659.2224
22,Female,high school,technology,1,44360.2656
19,Female,high school,technology,2,32975.5968
20,Female,high school,technology,2,43519.68
18,Female,high school,technology,1,50760.0432
18,Female,high school,technology,1,46437.8832
22,Female,high school,technology,0,45274.37759999999
19,Female,high school,technology,0,43035.79679999999
22,Female,high school,technology,1,33539.961599999995
19,Female,high school,technology,1,49692.91679999999
21,Female,high school,technology,1,48724.15679999999
22,Female,high school,technology,2,34287.148799999995
18,Female,high school,technology,0,49596.537599999996
19,Female,high school,technology,2,41619.91679999999
18,Female,high school,technology,2,33617.4624
18,Female,high school,technology,1,41691.456
22,Female,high school,technology,0,51589.699199999995
18,Female,high school,technology,2,46939.6512
20,Female,high school,technology,1,43089.451199999996
28,Female,high school,technology,2,52020.921599999994
27,Female,high school,technology,4,67890.70079999999
24,Female,high school,technology,5,61108.3872
23,Female,high school,technology,6,61447.20479999999
23,Female,high school,technology,2,53041.3488
27,Female,high school,technology,4,72794.11679999999
27,Female,high school,technology,3,48058.4448
24,Female,high school,technology,2,48201.523199999996
28,Female,high school,technology,4,66283.056
28,Female,high school,technology,5,48705.278399999996
24,Female,high school,technology,3,64166.687999999995
23,Female,high school,technology,4,55976.44319999999
24,Female,high school,technology,1,50759.0496
27,Female,high school,technology,5,58898.62079999999
25,Female,high school,technology,2,55726.056
27,Female,high school,technology,4,56894.529599999994
28,Female,high school,technology,4,70745.31359999998
23,Female,high school,technology,5,44473.53599999999
25,Female,high school,technology,5,48911.947199999995
26,Female,high school,technology,2,69369.17760000001
24,Female,high school,technology,2,45051.811200000004
27,Female,high school,technology,3,50730.2352
25,Female,high school,technology,5,43550.4816
25,Female,high school,technology,6,56477.217599999996
25,Female,high school,technology,1,45790.056
27,Female,high school,technology,3,49591.569599999995
25,Female,high school,technology,3,73015.6896
24,Female,high school,technology,2,46487.56319999999
28,Female,high school,technology,3,69296.6448
26,Female,high school,technology,1,59034.744000000006
27,Female,high school,technology,6,66679.5024
27,Female,high school,technology,6,46762.79039999999
23,Female,high school,technology,5,69714.9504
24,Female,high school,technology,4,59391.4464
25,Female,high school,technology,4,42776.4672
26,Female,high school,technology,1,52419.3552
23,Female,high school,technology,2,56260.61279999999
27,Female,high school,technology,3,49324.2912
27,Female,high school,technology,3,54525.78719999999
23,Female,high school,technology,5,57489.695999999996
27,Female,high school,technology,6,72715.62240000001
28,Female,high school,technology,2,45142.2288
26,Female,high school,technology,2,67621.4352
26,Female,high school,technology,1,44605.684799999995
28,Female,high school,technology,5,44095.96799999999
21,Male,high school,healthcare,1,42743.97
20,Male,high school,healthcare,2,46483.488
22,Male,high school,healthcare,0,42714.306000000004
19,Male,high school,healthcare,2,48853.827
21,Male,high school,healthcare,1,39182.436
19,Male,high school,healthcare,1,35057.286
19,Male,high school,healthcare,1,40343.04
19,Male,high school,healthcare,1,32855.661
22,Male,high school,healthcare,1,30651.255000000005
18,Male,high school,healthcare,0,29745.576
18,Male,high school,healthcare,0,46255.446
18,Male,high school,healthcare,0,41812.335
21,Male,high school,healthcare,2,39322.413
21,Male,high school,healthcare,1,40051.035
18,Male,high school,healthcare,1,31255.659000000003
19,Male,high school,healthcare,1,34779.186
22,Male,high school,healthcare,2,44881.632000000005
21,Male,high school,healthcare,0,50007.015
18,Male,high school,healthcare,1,45329.373
21,Male,high school,healthcare,1,47375.262
19,Male,high school,healthcare,2,33307.11
19,Male,high school,healthcare,0,52089.057
22,Male,high school,healthcare,1,32819.508
18,Male,high school,healthcare,0,48012.111000000004
22,Male,high school,healthcare,1,39591.243
21,Male,high school,healthcare,0,30820.896000000004
21,Male,high school,healthcare,1,41283.94500000001
22,Male,high school,healthcare,2,41115.23100000001
22,Male,high school,healthcare,1,33669.566999999995
20,Male,high school,healthcare,0,33524.955
18,Male,high school,healthcare,2,36395.874
20,Male,high school,healthcare,2,48038.067
21,Male,high school,healthcare,0,50031.117000000006
22,Male,high school,healthcare,0,30315.681000000004
22,Male,high school,healthcare,2,34161.804
21,Male,high school,healthcare,0,39986.145000000004
18,Male,high school,healthcare,2,30048.705000000005
22,Male,high school,healthcare,0,32002.821000000004
19,Male,high school,healthcare,2,50597.514
22,Male,high school,healthcare,0,46720.8
21,Male,high school,healthcare,2,43335.396
22,Male,high school,healthcare,2,32492.277
19,Male,high school,healthcare,1,34427.853
19,Male,high school,healthcare,2,38295.297000000006
18,Male,high school,healthcare,2,43111.989
22,Male,high school,healthcare,1,49045.716
22,Male,high school,healthcare,2,40714.76700000001
20,Male,high school,healthcare,1,36823.221000000005
20,Male,high school,healthcare,2,49558.347
19,Male,high school,healthcare,2,47348.37900000001
21,Male,high school,healthcare,2,46799.595
19,Male,high school,healthcare,1,41849.415
21,Male,high school,healthcare,1,48100.176
21,Male,high school,healthcare,0,39176.874
22,Male,high school,healthcare,0,42880.239
18,Male,high school,healthcare,1,44026.011
21,Male,high school,healthcare,0,44978.967000000004
20,Male,high school,healthcare,1,39867.489
21,Male,high school,healthcare,2,29725.182000000004
27,Male,high school,healthcare,6,42435.279
28,Male,high school,healthcare,6,60145.61400000001
24,Male,high school,healthcare,6,52488.594000000005
26,Male,high school,healthcare,3,49262.634000000005
25,Male,high school,healthcare,2,63974.124
27,Male,high school,healthcare,5,66493.71
26,Male,high school,healthcare,2,59440.16700000001
28,Male,high school,healthcare,6,39467.952
28,Male,high school,healthcare,5,63219.546
26,Male,high school,healthcare,4,50190.561
23,Male,high school,healthcare,3,44379.198000000004
27,Male,high school,healthcare,2,49069.81800000001
23,Male,high school,healthcare,4,48232.737
26,Male,high school,healthcare,2,62350.947
25,Male,high school,healthcare,4,44026.938
24,Male,high school,healthcare,2,54710.613
23,Male,high school,healthcare,4,51933.321
28,Male,high school,healthcare,3,44914.077
27,Male,high school,healthcare,2,62553.032999999996
23,Male,high school,healthcare,2,63946.314000000006
27,Male,high school,healthcare,3,54267.507000000005
25,Male,high school,healthcare,4,40343.04
24,Male,high school,healthcare,1,48248.49600000001
24,Male,high school,healthcare,1,49239.459
27,Male,high school,healthcare,2,48701.799
26,Male,high school,healthcare,1,52150.239
28,Male,high school,healthcare,4,47257.533
23,Male,high school,healthcare,5,64184.553
23,Male,high school,healthcare,3,47012.80500000001
28,Male,high school,healthcare,1,66804.255
28,Male,high school,healthcare,6,65045.73600000001
25,Male,high school,healthcare,5,63477.252
27,Male,high school,healthcare,4,40130.757000000005
28,Male,high school,healthcare,3,59704.36200000001
27,Male,high school,healthcare,2,55177.821
27,Male,high school,healthcare,2,47649.654
28,Male,high school,healthcare,6,46200.753
28,Male,high school,healthcare,3,41015.115
24,Male,high school,healthcare,2,43417.899000000005
25,Male,high school,healthcare,2,65051.298
25,Male,high school,healthcare,5,55635.759000000005
27,Male,high school,healthcare,5,39904.569
24,Male,high school,healthcare,3,39153.699
28,Male,high school,healthcare,5,50807.015999999996
27,Male,high school,healthcare,5,68562.774
21,Female,high school,healthcare,2,31102.272
19,Female,high school,healthcare,0,43448.831999999995
21,Female,high school,healthcare,1,35317.728
20,Female,high school,healthcare,2,32604.767999999996
21,Female,high school,healthcare,1,45219.168
21,Female,high school,healthcare,1,34387.200000000004
19,Female,high school,healthcare,2,32439.744
19,Female,high school,healthcare,1,46922.976
21,Female,high school,healthcare,1,30102.624
22,Female,high school,healthcare,1,47230.560000000005
20,Female,high school,healthcare,0,31443.552
21,Female,high school,healthcare,2,30331.584000000003
19,Female,high school,healthcare,2,38270.88
21,Female,high school,healthcare,1,47364.479999999996
21,Female,high school,healthcare,1,44026.848000000005
